ci_course_no,ci_course_name,ci_teacher_name,ci_teacher_group,ci_class_name,ci_student_number,ci_class_att,ci_class_sign,ci_class_dep,ci_class_stat,ci_exam_type,ci_union_no,ci_original_remark,ci_appoint,ci_remark
Z6110B0035,人工智能,邱桃荣:张卫平,,"数据科学与大数据技术181班,计算机科学与技术（可视化技术）181班",69,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0068,大数据分析,黎鹰,,数据科学与大数据技术181班,34,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0069,云计算与大数据编程,王炜立,,数据科学与大数据技术181班,34,必修,1,信工学院,0,笔试考试,,,0,
Z6110X0033,算法分析与设计,刘萍,,"数据科学与大数据技术181班,计算机科学与技术（卓越计划）181班",50,选修,1,信工学院,0,课程设计,,,0,
101CL001,大学生职业发展与就业指导,马文军,,自动化[201-4]班,110,必修,1,公共课排课,0,笔试考试,,,0,
210GX001,大学生心理健康指导,郑霞,,自动化[201-4]班,115,必修,1,公共课排课,0,笔试考试,,,0,
720GS002,中国近现代史纲要,吴俐磊,,"自动化[201-4]班,新功能材料与技术201实验班",116,必修,1,马克思主义学院,0,笔试考试,,,0,
590GL008,工程制图（3）,游步东,,自动化[203-4]班,57,必修,1,机电学院,0,笔试考试,,,0,
590GL008,工程制图（3）,江春喜,,自动化[201-2]班,55,必修,1,机电学院,0,笔试考试,,,0,
550GL019,线性代数,武林,,自动化[201-4]班,112,必修,1,理学院,0,笔试考试,,,0,
610GJ003,C程序设计,张云如,,自动化[201-4]班,112,必修,1,信工学院,0,笔试考试,,,0,
Z6130X0007,工业过程控制,束志恒,,自动化[181-4]班,121,选修,1,信工学院,0,笔试考试,,,0,
Z6130B0006,电力电子技术基础,付云:黄玉水:余运俊,,自动化[181-2]班,60,必修,1,信工学院,0,笔试考试,,,0,
Z6130B0006,电力电子技术基础,黄玉水:魏萍:杨晓辉,,自动化[183-4]班,59,必修,1,信工学院,0,笔试考试,,,0,
Z6130X0006,数据结构,付云,,自动化[181-4]班,127,选修,1,信工学院,0,笔试考试,,,0,
Z6130X0080,机器人控制,胡凌燕,,自动化[181-4]班,119,选修,1,信工学院,0,笔试考试,,,0,
Z6130X0008,MATLAB与控制系统仿真,吴肖龙:曾明如,,自动化[181-4]班,121,选修,1,信工学院,0,笔试考试,,,0,
Z6130B0007,计算机控制技术,简文娟:万旻,,自动化[181-4]班,122,必修,1,信工学院,0,笔试考试,,,0,
Z6130B0002,现代控制理论,曾芸,,自动化[181-4]班,124,必修,1,信工学院,0,笔试考试,,,0,
Z611KB0003,毕业实习,,,计算机科学与技术（航天班）171班,6,必修,1,信工学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,方娜,,"自动化[191-3]班,电子信息类[195-6]班",179,必修,1,马克思主义学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,谭潭,,电子信息类[191-4]班,147,必修,1,马克思主义学院,0,笔试考试,,,0,
T5130F4001,学术英语,,,电子信息类[191-6]班,0,必修,1,大学英语,0,笔试考试,,19??,0,
J5510N0010,数理方程与特殊函数,高文明,,电子信息类[194-6]班,125,必修,1,理学院,0,笔试考试,,,0,
J5510N0010,数理方程与特殊函数,高文明,,电子信息类[191-3]班,131,必修,1,理学院,0,笔试考试,,,0,
T7210P0002,马克思主义基本原理,黄金龙,,电子信息类[194-6]班,111,必修,1,马克思主义学院,0,笔试考试,,,0,
J6150G0005,Java程序设计,王昊,,电子信息类[194-6]班,116,选修,1,信工学院,0,笔试考试,,,0,
